amount,hour,is_new_recipient,recipient_age_days,recipient_txn_count,recipient_report_count,user_avg_payment,amount_deviation,txn_velocity_1h,urgency_score,secrecy_score,historical_relationship,is_odd_hour,is_fraud
20000.0,3,1,80,8,1,3579.94,5.587,1,91.1,44.7,0,1,1
2506.31,20,1,138,86,0,2321.67,1.08,0,2.1,9.0,0,0,0
587.71,9,0,333,37,0,2532.21,0.232,2,26.1,31.9,7,0,0
752.49,20,0,242,42,0,3909.38,0.192,2,17.1,25.1,14,0,0
1101.74,15,0,273,56,0,988.92,1.114,2,10.4,5.2,22,0,0
9186.65,1,1,138,4,3,1857.24,4.946,3,58.6,23.9,0,1,1
2188.61,18,0,612,23,0,3112.33,0.703,1,16.9,0.8,30,0,0
1696.72,1,0,721,40,0,2093.47,0.81,0,36.9,15.1,25,1,0
18234.3,8,0,778,89,0,3002.68,6.073,1,40.9,6.6,47,0,0
974.45,13,0,490,39,0,4340.9,0.224,0,4.9,13.4,15,0,0
1503.61,20,1,260,68,0,2430.77,0.619,1,29.6,9.1,0,0,0
1312.36,6,1,36,92,0,3779.56,0.347,0,32.8,8.3,0,0,0
497.98,7,0,514,48,0,2601.37,0.191,0,21.8,33.3,4,0,0
20000.0,17,1,41,6,1,3406.51,5.871,1,82.9,64.5,0,0,1
19744.02,10,0,500,41,0,1374.76,14.362,2,9.7,24.2,25,0,0
983.39,16,1,52,65,0,3617.92,0.272,2,24.9,18.3,0,0,0
198.2,22,0,865,104,0,1796.21,0.11,0,19.5,40.5,12,0,0
732.27,11,0,675,37,0,3334.13,0.22,0,27.1,29.6,7,0,0
1477.75,15,0,776,79,0,2756.39,0.536,2,10.2,2.4,11,0,1
5520.19,15,0,324,81,0,1006.81,5.483,0,18.7,3.0,9,0,0
1059.08,5,1,315,13,0,2321.75,0.456,2,35.2,4.3,0,1,0
370.25,20,0,309,67,0,2359.77,0.157,0,13.4,2.6,32,0,0
2366.86,11,1,6,6,3,1803.14,1.313,1,40.9,49.4,0,0,1
3809.68,18,1,1,3,2,1806.6,2.109,1,83.6,38.2,0,0,1
929.69,15,1,45,33,0,1088.43,0.854,0,39.6,9.9,0,0,0
1219.74,3,1,98,81,0,687.69,1.774,2,10.7,8.9,0,1,0
1126.34,16,0,547,37,0,2473.9,0.455,1,20.4,3.1,39,0,0
8216.19,22,1,37,6,4,1580.7,5.198,1,51.0,55.3,0,0,1
445.06,11,1,43,47,0,3554.41,0.125,0,11.7,7.8,0,0,0
3408.24,7,0,631,61,0,3050.84,1.117,3,13.1,36.6,15,0,0
275.91,1,1,8,88,0,2662.85,0.104,1,28.4,37.7,0,1,0
169.25,13,1,162,34,0,1567.21,0.108,1,1.7,0.8,0,0,0
3256.25,10,1,83,0,4,3165.33,1.029,7,47.0,32.6,0,0,1
387.65,15,1,222,48,0,2136.97,0.181,1,2.1,7.8,0,0,0
4557.34,17,0,129,111,1,2180.72,2.09,0,17.3,14.8,36,0,0
2736.95,22,1,34,87,0,313.55,8.729,1,10.5,15.1,0,0,0
2278.29,7,0,692,49,0,3111.27,0.732,2,29.1,15.1,12,0,0
3009.57,11,1,86,3,2,2223.23,1.354,5,79.1,43.5,0,0,1
2336.13,18,1,68,89,0,4062.57,0.575,2,23.2,3.2,0,0,0
2336.74,15,0,404,68,0,1405.01,1.663,1,21.4,3.5,16,0,0
2906.23,8,0,299,87,0,3500.7,0.83,0,24.6,18.2,28,0,0
3756.48,20,0,554,96,0,2180.76,1.723,1,38.6,6.1,29,0,0
3956.58,18,1,2,6,3,1303.14,3.036,3,92.2,89.3,0,0,1
2604.9,18,0,416,39,0,3141.16,0.829,1,11.7,7.6,31,0,0
1228.18,6,0,474,34,0,2677.88,0.459,1,23.4,15.1,10,0,0
282.55,15,0,618,62,0,2122.14,0.133,0,5.2,24.5,23,0,0
14194.36,17,0,413,70,0,2496.34,5.686,0,25.6,7.7,30,0,0
681.43,10,0,499,112,0,1150.51,0.592,0,2.4,23.1,25,0,0
3845.22,14,0,479,73,0,2175.11,1.768,0,9.2,8.5,4,0,0
20000.0,22,1,12,3,2,3347.59,5.974,6,56.8,50.7,0,0,1
595.5,7,0,571,39,0,2268.68,0.262,1,18.7,3.2,23,0,0
865.54,17,0,468,73,0,2215.35,0.391,0,3.4,8.6,29,0,0
437.18,11,0,415,34,0,3931.95,0.111,0,44.5,15.2,18,0,0
379.71,14,0,337,180,0,4013.52,0.095,3,41.8,2.8,28,0,0
2714.16,21,0,423,70,0,4169.94,0.651,0,24.1,22.2,39,0,0
12705.41,16,1,29,3,0,2703.51,4.7,0,85.8,84.6,0,0,1
2101.69,14,0,264,73,0,1786.97,1.176,0,14.1,23.5,21,0,0
2857.58,11,1,130,91,0,2463.46,1.16,0,42.1,5.8,0,0,0
6399.56,19,0,142,8,0,1999.37,3.201,0,10.9,19.1,22,0,0
176.56,20,0,319,48,0,300.0,0.589,1,28.7,14.4,25,0,0
2537.75,18,0,415,29,0,3326.53,0.763,1,24.5,11.3,27,0,0
1652.58,6,1,439,83,0,3272.98,0.505,2,19.1,28.9,0,0,0
942.97,21,0,1060,28,0,2348.84,0.401,2,15.0,10.5,20,0,0
3844.79,15,0,264,8,4,1364.36,2.818,1,77.2,81.1,2,0,1
5354.88,4,0,565,9,1,3661.03,1.463,3,50.9,49.7,2,1,1
191.13,9,0,375,100,0,3138.8,0.061,1,28.0,11.3,36,0,0
12921.64,20,0,23,100,0,1960.94,6.59,1,15.5,30.2,28,0,0
1024.57,11,1,87,37,0,509.71,2.01,0,5.3,42.8,0,0,0
4032.31,9,1,124,63,0,2945.08,1.369,0,35.1,3.4,0,0,0
2526.14,0,0,830,37,0,1808.04,1.397,0,30.0,24.1,16,1,0
5189.98,5,1,5,2,0,4549.84,1.141,4,59.7,52.1,0,1,0
20000.0,0,1,105,3,2,1839.49,10.873,4,53.3,35.8,0,1,1
873.15,13,0,444,94,0,3451.16,0.253,0,7.0,11.7,31,0,0
8050.97,6,0,726,72,1,2046.83,3.933,0,11.0,12.3,32,0,0
3647.25,2,0,1340,37,0,2490.54,1.464,0,8.5,3.4,20,1,0
3874.88,18,1,0,7,2,2233.44,1.735,2,76.4,66.1,0,0,1
1574.87,15,0,338,48,1,1036.09,1.52,0,23.6,22.4,39,0,0
14130.74,1,1,17,12,2,2311.37,6.114,0,76.7,55.1,0,1,1
711.48,17,1,108,57,0,2666.53,0.267,2,25.0,9.0,0,0,0
2372.23,8,1,47,35,0,4246.39,0.559,0,5.7,2.9,0,0,0
581.28,19,1,157,17,0,1399.75,0.415,0,46.5,21.0,0,0,0
4142.26,16,0,476,97,0,3332.09,1.243,1,29.1,15.1,15,0,0
5650.63,22,1,151,30,0,3100.9,1.822,0,24.1,1.4,0,0,0
893.92,19,0,841,79,0,2218.71,0.403,1,16.9,15.3,31,0,0
141.01,7,0,809,15,0,3594.02,0.039,0,11.2,2.2,38,0,0
2541.3,22,1,88,1,3,3174.88,0.8,4,79.0,79.4,0,0,1
1702.41,0,0,284,30,0,3289.19,0.518,0,18.0,9.6,10,1,0
12377.92,15,0,394,56,0,2771.63,4.466,0,32.0,22.2,20,0,0
384.48,19,0,559,115,0,3116.14,0.123,0,50.6,20.1,4,0,0
3594.52,5,1,57,5,1,1837.16,1.957,4,70.3,84.7,0,1,1
860.45,20,0,787,40,0,1812.07,0.475,1,14.1,2.1,18,0,0
1821.54,15,0,647,35,0,2308.26,0.789,1,37.0,35.8,7,0,0
1601.45,19,0,371,45,0,469.21,3.413,1,27.1,1.4,29,0,0
1865.16,12,1,76,48,0,3184.3,0.586,1,40.7,15.5,0,0,0
1368.39,6,0,749,22,0,751.99,1.82,1,16.0,18.6,35,0,0
2575.33,10,0,788,115,0,1887.93,1.364,0,16.7,0.6,33,0,0
1689.67,9,1,434,49,0,1924.5,0.878,1,7.3,8.2,0,0,0
2250.17,22,0,426,43,0,3149.02,0.715,0,11.5,9.1,31,0,0
1233.83,16,0,550,55,1,3305.04,0.373,1,19.8,15.6,7,0,0
306.32,23,1,87,66,0,300.0,1.021,0,21.9,7.9,0,1,0
314.69,9,0,783,91,0,659.72,0.477,2,34.1,8.6,31,0,0
219.19,9,1,122,23,0,2038.72,0.108,1,23.0,3.5,0,0,0
935.68,8,0,637,34,0,2414.6,0.388,1,14.3,20.3,1,0,0
369.5,9,0,439,53,0,2783.35,0.133,1,8.4,41.4,11,0,0
393.44,8,0,455,46,0,1324.44,0.297,0,49.2,1.1,34,0,0
5222.47,18,0,443,28,0,1428.49,3.656,0,26.8,7.4,32,0,0
1324.86,17,0,289,65,0,2436.51,0.544,1,14.1,10.3,5,0,0
3287.1,12,1,60,5,1,2890.98,1.137,1,69.6,62.2,0,0,1
207.85,2,0,300,142,1,1313.9,0.158,1,24.2,0.3,21,1,0
1858.58,0,0,421,34,0,468.11,3.97,0,17.8,5.4,25,1,0
835.72,21,0,543,39,0,1758.71,0.475,1,30.5,16.9,34,0,0
8788.44,18,0,578,70,0,2628.56,3.343,0,14.3,17.1,30,0,0
757.02,21,0,813,96,0,2766.57,0.274,2,10.8,31.3,37,0,0
17723.48,22,1,23,4,3,3203.45,5.533,1,62.5,91.3,0,0,1
18629.74,16,0,396,40,0,2594.9,7.179,0,35.7,25.6,28,0,0
6470.49,0,1,135,1,2,2571.31,2.516,3,75.5,83.3,0,1,1
1535.17,9,0,614,23,0,5238.92,0.293,0,29.5,11.0,10,0,0
618.98,14,0,560,38,0,3377.57,0.183,0,41.4,10.4,1,0,0
8960.16,9,0,603,36,0,1017.13,8.809,0,39.4,6.1,33,0,0
16698.49,20,0,710,39,0,2552.38,6.542,0,45.5,12.9,35,0,0
2865.21,6,0,492,18,0,1220.32,2.348,0,8.4,22.5,37,0,0
1408.58,11,1,33,33,1,977.31,1.441,0,15.9,0.6,0,0,0
15579.07,11,0,718,33,0,1780.4,8.75,1,27.6,1.6,24,0,0
1327.92,11,0,1289,74,0,2984.83,0.445,0,25.0,20.5,13,0,0
14310.24,15,1,65,11,1,2122.62,6.742,3,77.1,40.5,0,0,1
16381.08,21,1,63,2,1,1769.35,9.258,7,42.9,72.5,0,0,1
3420.62,14,0,368,109,0,1895.47,1.805,0,44.3,1.6,19,0,0
1139.47,4,0,567,79,0,2186.5,0.521,0,17.7,15.5,32,1,0
3108.84,7,0,269,53,0,1038.79,2.993,4,27.0,7.4,4,0,0
2571.61,16,0,586,33,0,2902.71,0.886,0,7.7,33.3,11,0,1
15879.57,8,0,232,85,0,3246.64,4.891,1,18.4,34.8,40,0,0
2564.97,15,0,425,115,0,2167.89,1.183,0,17.8,46.8,38,0,0
1355.93,16,0,642,52,0,2365.87,0.573,0,14.5,10.4,5,0,1
12481.07,3,0,51,62,0,2212.21,5.642,1,28.6,12.6,57,1,0
644.49,19,0,250,74,0,2430.85,0.265,0,10.7,6.3,10,0,0
5231.24,14,0,439,83,0,1963.18,2.665,0,19.5,1.0,6,0,0
16037.03,0,0,843,166,0,1453.05,11.037,0,20.4,12.5,22,1,0
1343.63,12,1,200,102,0,3228.52,0.416,0,4.4,15.8,0,0,0
2111.45,6,0,542,58,0,2668.86,0.791,3,4.8,0.1,19,0,0
1008.56,9,0,396,63,0,3533.09,0.285,0,27.1,0.7,22,0,0
1569.6,16,0,203,55,0,2578.93,0.609,0,16.6,6.7,35,0,0
8254.75,21,1,125,15,4,2332.84,3.539,4,58.1,49.4,0,0,1
1600.68,7,0,719,35,0,2855.38,0.561,1,27.1,5.7,18,0,0
2965.84,17,0,329,98,0,3193.4,0.929,0,0.5,29.6,20,0,0
1370.73,9,0,276,70,0,1873.15,0.732,0,7.0,4.8,6,0,0
3902.93,22,1,150,148,0,2831.26,1.379,1,8.3,49.7,0,0,0
497.36,11,0,931,24,1,3256.59,0.153,1,22.8,18.2,32,0,0
428.94,7,1,49,19,0,2650.48,0.162,1,13.6,16.5,0,0,0
3551.04,7,1,43,1,1,2042.99,1.738,1,79.7,73.6,0,0,1
12607.82,6,1,53,2,3,2972.38,4.242,1,68.3,59.7,0,0,1
14629.18,17,0,708,128,0,306.27,47.766,0,20.0,2.9,38,0,0
846.79,3,0,379,61,0,2848.92,0.297,0,7.0,2.4,11,1,0
1622.71,0,1,18,4,2,2624.5,0.618,2,14.6,8.3,0,1,1
10102.87,22,1,89,2,2,2970.1,3.402,5,36.7,75.3,0,0,1
1259.65,12,1,13,2,1,1696.32,0.743,5,1.6,8.5,0,0,1
20000.0,23,0,172,1,3,1835.87,10.894,1,54.7,75.3,2,1,1
1459.75,6,1,88,86,0,3522.03,0.414,0,15.8,10.4,0,0,0
871.82,17,1,154,46,2,2727.42,0.32,1,14.4,0.5,0,0,0
4475.98,13,0,639,74,0,300.0,14.92,3,26.2,3.1,17,0,0
746.04,12,0,582,20,0,3197.6,0.233,0,8.7,11.8,17,0,0
744.44,7,0,843,66,0,2522.95,0.295,0,26.8,10.1,34,0,0
1567.07,13,0,560,46,0,3650.54,0.429,1,20.4,1.2,13,0,0
10929.13,18,1,59,12,1,3998.6,2.733,2,83.2,56.8,0,0,1
1558.1,18,1,275,90,0,1595.21,0.977,0,2.9,18.4,0,0,0
135.2,12,0,186,86,0,1723.6,0.078,0,29.3,35.1,28,0,0
1400.84,11,0,439,58,0,1417.75,0.988,0,18.9,35.1,8,0,0
14888.0,17,0,264,51,0,3155.87,4.718,1,13.6,5.2,55,0,0
14441.56,11,1,57,8,2,1969.14,7.334,1,48.0,62.8,0,0,1
8288.35,10,0,501,46,0,3090.53,2.682,1,4.1,4.2,15,0,0
843.41,0,0,350,100,1,1419.87,0.594,0,46.5,6.0,35,1,0
1241.72,4,0,479,48,0,1522.37,0.816,0,37.2,6.9,3,1,0
3773.23,11,0,243,46,0,1181.33,3.194,2,19.6,17.1,25,0,0
3481.15,8,0,359,79,0,2582.96,1.348,1,4.6,7.2,7,0,0
6851.95,23,0,496,44,0,3788.22,1.809,0,20.5,51.9,33,1,0
2088.04,16,0,532,107,0,1489.71,1.402,1,13.3,20.0,32,0,0
3028.44,20,0,444,22,0,1748.51,1.732,1,8.3,11.6,25,0,0
20000.0,11,0,225,8,1,2476.47,8.076,8,55.4,38.4,2,0,1
845.03,21,0,459,51,0,664.26,1.272,0,34.0,9.1,33,0,1
5956.66,16,0,519,88,0,1392.44,4.278,2,7.0,3.4,28,0,0
1057.34,15,0,764,32,0,1559.14,0.678,0,8.6,27.4,34,0,0
16639.78,13,0,350,54,0,2740.87,6.071,0,49.7,12.7,55,0,0
1821.92,18,0,290,65,0,3813.08,0.478,2,40.1,11.4,30,0,0
15596.2,19,0,402,138,0,1729.87,9.016,0,33.4,7.7,48,0,0
663.87,10,0,1135,56,0,3232.35,0.205,0,14.3,3.2,28,0,0
8495.83,4,0,675,41,0,2341.86,3.628,2,17.8,4.1,18,1,0
3389.33,20,0,544,80,0,2056.43,1.648,1,27.5,18.3,29,0,0
359.36,9,0,606,106,0,2664.9,0.135,0,0.9,2.2,11,0,0
814.06,21,0,438,104,0,4503.76,0.181,0,9.3,7.2,27,0,1
1924.58,6,0,543,68,0,2285.59,0.842,0,30.5,10.2,23,0,0
1643.92,14,1,89,89,0,2830.11,0.581,0,18.4,7.4,0,0,0
2835.52,5,0,561,45,0,1639.01,1.73,2,20.9,0.7,37,1,0
3178.23,11,0,369,55,0,2595.08,1.225,1,53.4,3.7,29,0,0
1114.1,20,0,786,81,0,1786.12,0.624,0,14.5,10.2,15,0,0
